Model,Baseline Accuracy,Tuned Accuracy,Baseline Precision,Tuned Precision,Baseline Recall,Tuned Recall,Baseline F1-Score,Tuned F1-Score,Baseline ROC-AUC,Tuned ROC-AUC,ROC-AUC Improvement,F1 Improvement
Random Forest,0.8852459016393442,0.8852459016393442,0.8387096774193549,0.8387096774193549,0.9285714285714286,0.9285714285714286,0.8813559322033898,0.8813559322033898,0.9518398268398268,0.9610389610389611,0.009199134199134318,0.0
Logistic Regression,0.8688524590163934,0.8524590163934426,0.8125,0.8064516129032258,0.9285714285714286,0.8928571428571429,0.8666666666666667,0.847457627118644,0.9512987012987012,0.9567099567099567,0.005411255411255533,-0.019209039548022666
