mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_class_weight,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.510444688796997,0.1497726246991941,0.09472146034240722,0.013939257187231841,500,2,4,,15,,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 15, 'class_weight': None}",0.9147157190635451,0.8535353535353535,0.8426573426573426,0.881118881118881,0.8846153846153846,0.8753285361981014,0.025351424101429536,16,0.985064935064935,0.9891961970613656,0.9885500267522739,0.9834135901551633,0.9844836811128945,0.9861416860293264,0.0023013484187976653
0.42150344848632815,0.019889891641141556,0.02878541946411133,0.0076703862460180735,100,10,1,sqrt,,balanced,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'class_weight': 'balanced'}",0.9230769230769231,0.8636363636363636,0.8671328671328671,0.8898601398601399,0.8653846153846154,0.8818181818181818,0.022729962186216816,12,0.9887445887445887,0.9900605012964564,0.9882289994649545,0.9913322632423756,0.9852327447833066,0.9887198195063365,0.002050536412186277
2.2728343486785887,0.20690240526549966,0.09717040061950684,0.034737398534694354,500,10,1,,5,balanced,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 5, 'class_weight': 'balanced'}",0.9096989966555183,0.8468013468013468,0.8583916083916084,0.8688811188811189,0.8916083916083916,0.8750762924675968,0.0227520256601337,17,0.9859307359307359,0.9923292999135696,0.9888710540395934,0.9861958266452648,0.9871589085072231,0.9880971650072773,0.002353665136328224
0.4074079990386963,0.019411764750256178,0.022318553924560548,0.0016842475108127088,100,2,2,log2,,balanced,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'class_weight': 'balanced'}",0.9297658862876255,0.8737373737373737,0.8601398601398602,0.8863636363636364,0.8793706293706294,0.885875477179825,0.023573607681757175,5,0.9975108225108225,0.9984874675885912,0.9988228999464954,0.9991439272338148,0.9979668271803104,0.9983863888920068,0.0005860497693345036
3.7250760555267335,0.37466522754107423,0.12161731719970703,0.01591185478755442,500,5,1,,20,balanced,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20, 'class_weight': 'balanced'}",0.9013377926421405,0.8333333333333334,0.8461538461538461,0.861888111888112,0.8846153846153845,0.8654656937265633,0.02478609801751558,20,0.9998917748917749,0.9997839239412274,0.9998929909042269,0.9996789727126806,0.9998929909042269,0.9998281306708273,8.56348270667381e-05
0.5677576541900635,0.02819770312735815,0.032556676864624025,0.007893364078156639,100,5,1,,,balanced,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None, 'class_weight': 'balanced'}",0.9197324414715718,0.8417508417508417,0.8496503496503498,0.8601398601398601,0.8828671328671329,0.8708281251759512,0.028088415603622345,18,0.9996753246753247,0.9995678478824547,0.9998929909042269,0.9996789727126806,0.9997859818084537,0.999720223596628,0.00011055188087767329
2.5793101310729982,0.07464731677460307,0.12282891273498535,0.026206801557189057,500,5,2,sqrt,20,balanced,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced'}",0.939799331103679,0.851851851851852,0.8636363636363636,0.9003496503496504,0.868881118881119,0.8849036631645328,0.03179168150378868,8,0.996969696969697,0.9976231633535004,0.9966827180310327,0.9985018726591761,0.9963616907437132,0.9972278283514239,0.0007607167789792469
1.06223464012146,0.049754327667014334,0.04910778999328613,0.00466683164507056,200,10,2,sqrt,20,balanced,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20, 'class_weight': 'balanced'}",0.9297658862876255,0.8686868686868687,0.8583916083916083,0.8881118881118881,0.868881118881119,0.8827674740718219,0.02538775550688638,10,0.9862554112554114,0.9863872082973206,0.9866238630283575,0.9872659176029963,0.9838416265382558,0.9860748053444682,0.0011694027905891603
4.670912981033325,0.7309999946282977,0.18688106536865234,0.09062616671266595,500,2,4,,20,balanced,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': 20, 'class_weight': 'balanced'}",0.9163879598662208,0.8585858585858586,0.8339160839160839,0.881118881118881,0.888111888111888,0.8756241343197866,0.027848482970537523,15,0.9857142857142857,0.9889801210025929,0.9890850722311397,0.9841626538255752,0.9851257356875335,0.9866135736922252,0.002036577530479826
2.8646712779998778,0.11123383071972014,0.1339038372039795,0.05515191207822962,500,10,2,log2,15,balanced,"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15, 'class_weight': 'balanced'}",0.9381270903010033,0.8686868686868687,0.8706293706293706,0.8951048951048951,0.8671328671328672,0.8879362183710009,0.027104823983786015,3,0.9862554112554113,0.9870354364736387,0.9856607811663992,0.9871589085072231,0.9842696629213483,0.9860760400648042,0.0010545764926258652
0.6786681175231933,0.07832459302942346,0.03280949592590332,0.006506173827898717,100,5,1,,20,balanced,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20, 'class_weight': 'balanced'}",0.9197324414715718,0.8417508417508417,0.8496503496503498,0.8601398601398601,0.8828671328671329,0.8708281251759512,0.028088415603622345,18,0.9996753246753247,0.9995678478824547,0.9998929909042269,0.9996789727126806,0.9997859818084537,0.999720223596628,0.00011055188087767329
1.079967212677002,0.0717808195956916,0.0433650016784668,0.0054646028313428945,200,5,1,log2,,balanced,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'class_weight': 'balanced'}",0.9347826086956521,0.8468013468013468,0.8653846153846154,0.8968531468531469,0.8846153846153846,0.885687420470029,0.029868012431858056,7,0.9994588744588745,0.9995678478824546,0.9997859818084538,0.9997859818084537,0.9996789727126806,0.9996555317341835,0.00012723715260340248
1.6697412490844727,0.11942257755768067,0.060375404357910153,0.013018494530352177,300,10,2,,,balanced,"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None, 'class_weight': 'balanced'}",0.9147157190635451,0.8484848484848485,0.8566433566433567,0.8723776223776224,0.8898601398601398,0.8764163372859025,0.02381188157390739,14,0.9874458874458875,0.9915730337078652,0.9902621722846442,0.9851257356875335,0.9861958266452648,0.9881205311542391,0.00243453618094792
1.3282097816467284,0.03897764129980781,0.06666655540466308,0.016836998415242607,300,2,2,log2,5,,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5, 'class_weight': None}",0.9314381270903009,0.8636363636363636,0.8706293706293706,0.9020979020979021,0.8688811188811189,0.8873365764670111,0.025862243644292494,4,0.9880952380952381,0.9913569576490924,0.989406099518459,0.9889780631353664,0.9870518994114499,0.9889776515619211,0.001437486705923395
