mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.007992792129516601,0.002528301515920358,0.007287263870239258,0.0009856145740339964,0.0745934328572655,,1000,liblinear,"{'C': np.float64(0.0745934328572655), 'class_weight': None, 'max_iter': 1000, 'solver': 'liblinear'}",0.9230769230769231,0.8973063973063974,0.8776223776223776,0.9055944055944056,0.8951048951048951,0.8997409997409997,0.01480190445626956,4,0.9150432900432901,0.9147579948141746,0.9223113964686999,0.9170679507758159,0.9183520599250936,0.9175065384054149,0.002742845643628164
0.00859522819519043,0.0018528205168512727,0.011427593231201173,0.007524319210451018,4.5705630998014515,,1000,liblinear,"{'C': np.float64(4.5705630998014515), 'class_weight': None, 'max_iter': 1000, 'solver': 'liblinear'}",0.9130434782608695,0.898989898989899,0.8706293706293706,0.9073426573426573,0.8828671328671329,0.8945745076179857,0.015710228603855188,17,0.9206709956709956,0.9197277441659464,0.9260567148207598,0.9220973782771535,0.9191011235955056,0.9215307913060722,0.002477842495558748
0.006216239929199219,0.001068137685931481,0.006996679306030274,0.0008927638805304367,0.006026889128682512,,1000,liblinear,"{'C': np.float64(0.006026889128682512), 'class_weight': None, 'max_iter': 1000, 'solver': 'liblinear'}",0.9381270903010033,0.8939393939393939,0.8706293706293706,0.903846153846154,0.8863636363636364,0.8985811290159118,0.022555341578231868,6,0.8984848484848484,0.9061149524632671,0.912573568753344,0.9029427501337614,0.908079186730872,0.9056390613132186,0.004748071883360867
0.010400342941284179,0.0024116846699004115,0.010872983932495117,0.004671323492508271,0.0019517224641449498,balanced,1000,liblinear,"{'C': np.float64(0.0019517224641449498), 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'liblinear'}",0.9364548494983278,0.8888888888888888,0.8653846153846154,0.9073426573426574,0.8776223776223776,0.8951386777473734,0.024848130811181462,15,0.8925324675324675,0.9033059636992221,0.9086142322097378,0.8974852862493311,0.9044408774745853,0.9012757654330688,0.00563570269777474
0.006810331344604492,0.0007426714567999288,0.011389017105102539,0.007426163280658151,1.0129197956845732,balanced,1000,liblinear,"{'C': np.float64(1.0129197956845732), 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'liblinear'}",0.9163879598662207,0.8973063973063974,0.8741258741258742,0.9038461538461539,0.8881118881118881,0.8959556546513069,0.014280249094277185,12,0.9205627705627706,0.9196197061365601,0.9263777421080792,0.9213483146067416,0.9185660781166399,0.9212949223061582,0.002706543695470596
0.026114416122436524,0.01340629930780938,0.01189112663269043,0.005188804421585425,0.001267425589893723,balanced,1000,lbfgs,"{'C': np.float64(0.001267425589893723), 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}",0.9364548494983278,0.8855218855218856,0.8636363636363635,0.9073426573426574,0.8741258741258742,0.8934163260250217,0.0259520600027499,20,0.8918831168831169,0.9021175453759723,0.9076511503477795,0.8967362225789192,0.9035848047084001,0.9003945679788377,0.005506950880457797
0.020610809326171875,0.009970102254393725,0.008921384811401367,0.002009081878852466,14.528246637516036,balanced,1000,lbfgs,"{'C': np.float64(14.528246637516036), 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'lbfgs'}",0.9147157190635451,0.898989898989899,0.8706293706293706,0.9055944055944056,0.8828671328671329,0.8945593054288707,0.01585580830043225,18,0.9211038961038962,0.9210242005185826,0.9260567148207597,0.9220973782771535,0.9187800963081861,0.9218124572057157,0.00238384239296545
0.015040016174316407,0.009194781457646229,0.008325147628784179,0.0023393036161808035,0.008111941985431923,,1000,liblinear,"{'C': np.float64(0.008111941985431923), 'class_weight': None, 'max_iter': 1000, 'solver': 'liblinear'}",0.9381270903010033,0.8939393939393939,0.8723776223776224,0.9003496503496504,0.8863636363636364,0.8982314786662613,0.02201742962385322,7,0.9014069264069264,0.9069792566983579,0.9136436597110754,0.904868913857678,0.9090422685928304,0.9071882050533736,0.004097716444541967
0.00884552001953125,0.0023561568710875687,0.008686447143554687,0.001328566721115286,0.033205591037519584,balanced,1000,liblinear,"{'C': np.float64(0.033205591037519584), 'class_weight': 'balanced', 'max_iter': 1000, 'solver': 'liblinear'}",0.9280936454849498,0.898989898989899,0.8723776223776224,0.9055944055944056,0.8968531468531469,0.9003817438600047,0.017853517205341878,2,0.9113636363636364,0.9136776145203112,0.9202782236490101,0.9134296415195292,0.9150347779561263,0.9147567788017227,0.0030000980400210543
0.007400941848754883,0.0015887812644287186,0.0094024658203125,0.0016990463696120496,0.14445251022763064,,1000,liblinear,"{'C': np.float64(0.14445251022763064), 'class_weight': None, 'max_iter': 1000, 'solver': 'liblinear'}",0.9214046822742474,0.8973063973063974,0.8741258741258741,0.9073426573426574,0.8898601398601399,0.8980079501818633,0.015948519533803066,8,0.9174242424242424,0.9171348314606742,0.9240235420010701,0.9199571963616907,0.918673087212413,0.919442579892018,0.002499662052982022
